City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course"
New York,18,75
Los Angeles,15,60
San Francisco,15,75
Miami,19,70
Orlando,15,45
San Diego,15,52.5
Austin,15,50
Boston,15,70
Honolulu,15,65
Washington DC,15,70
Seattle,15,65
Chicago,15,60
New Orleans,17.5,58
Salt Lake City,12.5,55
Sacramento,15,45
Nashville,12,60
Portland,12,50
Denver,15,55
Lakeland,13.4,45
