City,Taxi Base,Taxi 1km
New York,2.5,1.68
Los Angeles,3,1.68
San Francisco,3.5,1.71
Miami,2.95,2.49
Orlando,2.65,1.49
San Diego,3,1.86
Austin,3.62,1.24
Boston,2.9,2.28
Honolulu,3.1,2.67
Washington DC,3.62,1.52
Seattle,2.9,1.68
Chicago,3.25,1.4
New Orleans,3.5,1.49
Salt Lake City,3,1.93
Sacramento,4,1.86
Nashville,3,1.24
Portland,2.5,1.71
Denver,3.25,1.4
Lakeland,2.93,1.49
,,
