City,Public Transport One Way
New York,2.75
Los Angeles,1.75
San Francisco,2.25
Miami,2.38
Orlando,2
San Diego,2.5
Austin,1.25
Boston,2.53
Honolulu,2.5
Washington DC,2.75
Seattle,2.74
Chicago,2.5
New Orleans,1.25
Salt Lake City,2.5
Sacramento,2.75
Nashville,1.73
Portland,2.5
Denver,2.6
Lakeland,1.3
