PassengerRank,AirportCode,AirportName,City,State,AverageFare,InflationAdjustedAverageFare,Passengers,
318,RHI,Rhinelander/Oneida County,Rhinelander,WI,642.36,642.36,793.00,
319,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,740.74,740.74,784.00,
320,PSG,Petersburg James A Johnson,Petersburg,AK,427.80,427.80,713.00,
321,RKS,Rock Springs Sweetwater County,Rock Springs,WY,598.63,598.63,712.00,
322,ESC,Delta County,Escanaba,MI,477.87,477.87,662.00,
323,AKN,King Salmon Airport,King Salmon,AK,644.63,644.63,656.00,
324,LAR,Laramie Regional,Laramie,WY,457.59,457.59,654.00,
325,HIB,Range Regional,Hibbing,MN,625.47,625.47,615.00,
326,CDC,Cedar City Regional,Cedar City,UT,301.06,301.06,598.00,
327,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,211.86,211.86,596.00,
328,HOB,Lea County Regional,Hobbs,NM,482.85,482.85,594.00,
329,EKO,Elko Regional,Elko,NV,733.90,733.90,587.00,
330,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,563.11,563.11,577.00,
331,OGD,Ogden-Hinckley,Ogden,UT,80.07,80.07,568.00,
332,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,586.07,586.07,557.00,
333,CDV,Merle K Mudhole Smith,Cordova,AK,389.22,389.22,542.00,
334,JMS,Jamestown Regional,Jamestown,ND,352.87,352.87,513.00,
335,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,233.82,233.82,477.00,
336,ENA,Kenai Municipal,Kenai,AK,648.91,648.91,423.00,
337,DLG,Dillingham Airport,Dillingham,AK,567.05,567.05,417.00,
338,WRG,Wrangell Airport,Wrangell,AK,416.39,416.39,413.00,
339,IMT,Ford,Iron Mountain/Kingsfd,MI,624.55,624.55,380.00,
339,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,455.27,455.27,380.00,
341,HYS,Hays Regional,Hays,KS,497.34,497.34,339.00,
342,APN,Alpena County Regional,Alpena,MI,639.98,639.98,330.00,
342,INL,Falls International Einarson Field,International Falls,MN,565.45,565.45,330.00,
344,MKK,Molokai,Hoolehua,HI,242.69,242.69,327.00,
345,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,455.27,455.27,324.00,
346,DVL,Devils Lake Regional,Devils Lake,ND,409.31,409.31,304.00,
347,WYS,Yellowstone,West Yellowstone,MT,481.19,481.19,293.00,
348,SPN,Francisco C. Ada Saipan International,Saipan,TT,1360.54,1360.54,287.00,
349,YAK,Yakutat Airport,Yakutat,AK,403.32,403.32,258.00,
